microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-miR-200c-3p	12	6963742	6963765	23	+	5932.748259200098E0	4599.8160073597055E0	193.14948674016446E0	741.5935324000122E0	0.023452829398793746E0	0.06106585767987806E0	0.10473867166990154E0	-3.2551338816019126E0	-9.54757191452302E0	270.06442662229813E0	2578.459535713279E0	-41.58711727335484E0	-2.1919319116017015E0	0.49843845830229927E0	0.6511970516782041E0	0.6303594301106089E0	-0.6657534088584383E0	-1.5863965100427393E0	45.565390612474744E0	72.28477665199722E0	-6.909993273246178E0	2.7457066340080716E0	0.0012378834072096071E0	0.0038824525044301316E0	35.670851506817975E0	5.156673749996853E0	35.670851506817975E0	2578.459535713279E0	72.28477665199722E0	8.189315402051733E0	155.37436095118176E0	0.02349696559203035E0	0.049885865410772126E0	5.926963928346159E0	2.5672932772533783E0	5.926963928346159E0	270.06442662229813E0	45.565390612474744E0	1.360712596853287E0	25.81654751279131E0
hsa-miR-203a-3p	14	104117469	104117491	22	+	36246.2592744802E0	27973.334994704383E0	919.8679845629423E0	4530.782409310025E0	0.005561178233869562E0	0.020741691791189176E0	21.887386829171263E0	4.452027813972672E0	21.887386829171263E0	15247.334681215652E0	696.6265453374435E0	4.734272337394791E0	101.18929965769541E0	6.401153749504061E-4	0.0046492590391134766E0	35.72975050388955E0	5.159053934697531E0	35.72975050388955E0	2119.8386199993183E0	59.32979068769055E0	7.728394931419354E0	165.18501996840104E0	0.005817374598071818E0	0.01248019717996294E0	11.741597888229336E0	3.553556849890523E0	11.741597888229336E0	696.6265453374435E0	59.32979068769055E0	2.539724020638694E0	54.28350476214381E0	0.07178031748347233E0	0.11006315347465756E0	7.192686524477119E0	2.8465307291656634E0	7.192686524477119E0	15247.334681215652E0	2119.8386199993183E0	1.5557881399985125E0	33.2530748302556E0
hsa-miR-20a-5p	13	91351072	91351095	23	+	92202.87572245856E0	20325.24012713742E0	9185.377200715984E0	11525.35946530732E0	0.0021974956882160786E0	0.010457048447373064E0	3.5848472614543185E0	1.8419116517481997E0	3.5848472614543185E0	10439.885201065128E0	2912.2259436456297E0	1.891984605803425E0	6.792407215437855E0	0.1178830608078398E0	0.29577931620876174E0	1.6163362970733577E0	0.6927273983641584E0	1.6163362970733577E0	20232.080079871892E0	12517.246636646621E0	-1.1722529447665313E0	3.062561254663117E0	7.453140890048859E-4	0.0025713336070668563E0	0.23265707139113712E0	-2.1037230577776476E0	-4.2981715278227055E0	2912.2259436456297E0	12517.246636646621E0	-8.143981924331289E0	-2.268457697258791E0	0.03135930360820612E0	0.06271860721641224E0	0.5160065184112156E0	-0.9545388043936065E0	-1.9379600146893505E0	10439.885201065128E0	20232.080079871892E0	-3.6719593965813186E0	-1.0228024367675153E0
hsa-miR-20b-5p	X	134169850	134169873	23	-	179133.23419911083E0	88857.05200200269E0	5651.279181370552E0	22391.654274888853E0	1.2498861948727732E-4	0.0015823631465016125E0	0.1710037095032581E0	-2.547900473729941E0	-5.847826359468226E0	1148.4295830572505E0	6715.816789798235E0	-10.703264448622068E0	-3.1950133806975045E0	4.987083855428157E-7	1.3764351440981713E-5	0.02184716033923895E0	-5.516410417176167E0	-45.77253906101168E0	1746.80212610429E0	79955.56860059564E0	-83.77738324286389E0	-25.008245077531726E0	1.3473465833631787E-5	2.0659314278235406E-4	0.08399435974441223E0	-3.5735637361924555E0	-11.905561314389631E0	6715.816789798235E0	79955.56860059564E0	-21.790724163838632E0	-6.504712241087897E0	0.11598343232317386E0	0.1616738753595757E0	0.657446865890763E0	-0.6050537927462294E0	-1.5210354659537664E0	1148.4295830572505E0	1746.80212610429E0	-2.7839480564393297E0	1.2033236341146252E0
hsa-miR-21-3p	17	59841311	59841332	21	+	24353.319578873085E0	9407.513550557598E0	2067.3443001044766E0	3044.1649473591356E0	2.5923846921321143E-4	0.0024143186908178204E0	12.078852676720894E0	3.5944115200623683E0	12.078852676720894E0	6562.432751487747E0	543.2993450921203E0	4.788128394160732E0	30.47092098947375E0	0.538909141373085E0	0.682288637701704E0	1.294680350398769E0	0.3725959482451036E0	1.294680350398769E0	2861.0653510927486E0	2209.8623417639283E0	-1.9484862259724263E0	3.2660471751307756E0	0.005576957792979438E0	0.012216193260812103E0	0.2458521216245446E0	-2.02413728968205E0	-4.067485744650842E0	543.2993450921203E0	2209.8623417639283E0	-10.260911368670923E0	-1.6123753230587339E0	0.10753538702200126E0	0.15458211884412681E0	2.293702500735014E0	1.1976782821352145E0	2.293702500735014E0	6562.432751487747E0	2861.0653510927486E0	-1.0998230280434234E0	5.786247216008657E0
hsa-miR-21-5p	17	59841273	59841295	22	+	720375.9753302493E0	152687.8315444615E0	74040.93599174259E0	90046.99691628116E0	0.011221172306996006E0	0.03441159507478775E0	1.8832730930094657E0	0.9132422200067779E0	1.8832730930094657E0	55442.14654745847E0	29439.24954236741E0	1.2112440909779845E0	2.9281608630922147E0	0.634088062209618E0	0.7478987400421135E0	0.9088819324074641E0	-0.1378352004607344E0	-1.1002529199267728E0	131082.58960667017E0	144224.0019686286E0	-1.7107011997310548E0	1.4131527251814153E0	3.289770719258947E-5	3.7832363271477886E-4	0.20412170754123787E0	-2.2924984794114116E0	-4.899037990841685E0	29439.24954236741E0	144224.0019686286E0	-7.6171487634122075E0	-3.150860509774099E0	0.0018427588058717468E0	0.005859370419522983E0	0.4229558381618498E0	-1.241421058943899E0	-2.3643130317008096E0	55442.14654745847E0	131082.58960667017E0	-3.676093984044626E0	-1.5206292701254327E0
hsa-miR-22-3p	17	1713914	1713936	22	-	6840.208304291567E0	2118.248084231512E0	651.864150067052E0	855.0260380364459E0	0.0506701982916187E0	0.1075767286806674E0	2.025736626700711E0	1.0184466163640378E0	2.025736626700711E0	1721.7824336337287E0	849.9537455827672E0	1.0215293779442296E0	4.017122727312119E0	0.0037228409975247263E0	0.018348287773514722E0	3.3262157976314377E0	1.733881770571448E0	3.3262157976314377E0	652.2686536902017E0	196.09931923908607E0	1.6773291798533094E0	6.5960287731836384E0	0.0011492098332757225E0	0.003688161790512784E0	4.334302376317756E0	2.1157998044692055E0	4.334302376317756E0	849.9537455827672E0	196.09931923908607E0	2.1856825571215897E0	8.595107751646237E0	0.012868562234121143E0	0.03115546646155645E0	2.6396829337275896E0	1.4003646502617955E0	2.6396829337275896E0	1721.7824336337287E0	652.2686536902017E0	1.3311274672722477E0	5.234604620466135E0
hsa-miR-221-3p	X	45746180	45746203	23	-	303829.6694660971E0	122359.97757149088E0	24367.84239078014E0	37978.708683262135E0	4.850852202944097E-5	0.00102436433915638E0	7.364512273052851E0	2.880589983571057E0	7.364512273052851E0	96753.43073040538E0	13137.792037065054E0	4.123783574040471E0	13.152009567467616E0	8.413102698212944E-4	0.0055286103445399346E0	3.6878994499462316E0	1.8827993214284557E0	3.6878994499462316E0	33059.338647221404E0	8964.273318356732E0	2.0650517794706396E0	6.586082968050384E0	0.19409386043165117E0	0.2413058805366474E0	1.4655724529632395E0	0.5514642917715528E0	1.4655724529632395E0	13137.792037065054E0	8964.273318356732E0	-1.2185429251010127E0	2.6173115351736995E0	0.003305393908750534E0	0.009122887188151473E0	2.9266595967125157E0	1.549254953914154E0	2.9266595967125157E0	96753.43073040538E0	33059.338647221404E0	1.6387929470756368E0	5.226612922830781E0
hsa-miR-221-5p	X	45746221	45746243	22	-	1937.1361935337052E0	934.5212136315495E0	68.36063497806386E0	242.14202419171315E0	0.4005030391055033E0	0.521409616948674E0	1.9120195984080692E0	0.9350973111749491E0	1.9120195984080692E0	612.7222049538663E0	320.45811946537924E0	-1.8573460919010598E0	6.7901210296300025E0	0.007037024918642083E0	0.031326110928148625E0	7.186165248276261E0	2.8452221109770908E0	7.186165248276261E0	31.064896951863943E0	4.322875395743154E0	2.023541072706314E0	25.520100220386432E0	5.039870316018887E-5	3.912409883861238E-4	74.13077868215326E0	6.212000760665891E0	74.13077868215326E0	320.45811946537924E0	4.322875395743154E0	20.874370437142495E0	263.25930952361944E0	8.796136680573878E-4	0.0035701966527035157E0	19.723941321767832E0	4.301875960863749E0	19.723941321767832E0	612.7222049538663E0	31.064896951863943E0	5.554033897261155E0	70.04528032433936E0
hsa-miR-222-3p	X	45747036	45747057	21	-	5973.718380774975E0	2554.357983926235E0	480.62548670489724E0	746.7147975968719E0	7.488279453383742E-4	0.004387900924677329E0	5.50055889574864E0	2.4595782141209037E0	5.50055889574864E0	2069.1365818260606E0	376.16842587206474E0	2.626477933413053E0	11.51966585391497E0	0.4274546572634467E0	0.6124343360353952E0	1.3041187955186633E0	0.38307529433849746E0	1.3041187955186633E0	306.51674289723906E0	235.03743979212368E0	-1.605890424573172E0	2.73117932975798E0	0.19250625209127958E0	0.2413058805366474E0	1.6004617229275797E0	0.6784881734140101E0	1.6004617229275797E0	376.16842587206474E0	235.03743979212368E0	-1.3085423139008026E0	3.3518019913133696E0	3.7765345373860743E-4	0.0018612920219974222E0	6.750484693270036E0	2.754991093196416E0	6.750484693270036E0	2069.1365818260606E0	306.51674289723906E0	3.2233086533115345E0	14.137350311536789E0
hsa-miR-224-5p	X	151958628	151958653	25	-	6525.580495080849E0	1023.565754866554E0	769.4820227363489E0	815.6975618851061E0	0.41611938398369847E0	0.5366773363528073E0	1.2410519260280954E0	0.311563479574638E0	1.2410519260280954E0	812.5414647972763E0	654.7199579054909E0	-2.088981171103141E0	3.217469445338786E0	0.781707387981175E0	0.8494143270976546E0	1.1279356261406657E0	0.1736847321890308E0	1.1279356261406657E0	951.7397539836805E0	843.7890708539771E0	-2.2984770103455032E0	2.9242115799548816E0	0.33996439597690176E0	0.3942444255866592E0	0.7759284642913371E0	-0.3660044437241563E0	-1.2887786001165837E0	654.7199579054909E0	843.7890708539771E0	-3.341202475671216E0	2.011621007362675E0	0.6689383949402635E0	0.7156085155174913E0	0.8537433278561003E0	-0.2281256963385493E0	-1.1713122285958895E0	812.5414647972763E0	951.7397539836805E0	-3.036666901215251E0	2.2133586950951414E0
hsa-miR-23a-3p	19	13836595	13836616	21	-	36216.09249508817E0	8348.389508441842E0	4131.342911932699E0	4527.011561886021E0	0.6081288933994148E0	0.72346368352689E0	1.1664713746711033E0	0.222150903870108E0	1.1664713746711033E0	6436.9307252579E0	5518.292917308378E0	-1.7638536614932165E0	2.39999712913397E0	0.24794496317893122E0	0.4716531147083457E0	0.6770818329997199E0	-0.5625978845314885E0	-1.476926349610703E0	2484.055533465191E0	3668.767071512616E0	-3.0387535227835634E0	1.393085583301412E0	0.29628267790430474E0	0.3494616200922569E0	1.504127356510753E0	0.5889267271403205E0	1.504127356510753E0	5518.292917308378E0	3668.767071512616E0	-1.367892682979696E0	3.0947191811676618E0	0.02004180527737173E0	0.04390109727424284E0	2.5912990420320967E0	1.3736755155419167E0	2.5912990420320967E0	6436.9307252579E0	2484.055533465191E0	1.259449904772934E0	5.331558404815695E0
hsa-miR-23b-3p	9	95085265	95085288	23	+	13589.652586197992E0	3862.6876830104047E0	1300.7659782904416E0	1698.706573274749E0	0.44478339897021246E0	0.5631202665861406E0	1.2729960944820051E0	0.3482279930962336E0	1.2729960944820051E0	2998.0622278512074E0	2355.122879578781E0	-1.8659892751464755E0	3.0238711797234576E0	0.15980868092426864E0	0.35363625429996837E0	1.8111487070909895E0	0.8569050057993738E0	1.8111487070909895E0	928.8112589065513E0	512.8299267624552E0	-1.3115417029571577E0	4.30219731333454E0	0.005335411585334664E0	0.012070275389773502E0	4.592405310354286E0	2.199249975078458E0	4.592405310354286E0	2355.122879578781E0	512.8299267624552E0	1.933321122791372E0	10.908786070738087E0	0.016001336670161407E0	0.03755761238653141E0	3.22784871362069E0	1.6905729623753176E0	3.22784871362069E0	2998.0622278512074E0	928.8112589065513E0	1.3588670157548468E0	7.6674223431900845E0
hsa-miR-24-3p	9	95086064	95086086	22	+	17419.982125388786E0	2869.0202950448092E0	2120.330054363717E0	2177.497765673598E0	0.24815691274748441E0	0.3735547024054736E0	1.354283492111831E0	0.43752976982404196E0	1.354283492111831E0	2113.2023060642123E0	1560.3840098949431E0	-1.342979156708521E0	2.463136284177124E0	0.7346763777706236E0	0.8176237107447262E0	0.9101096811020969E0	-0.1358876739201722E0	-1.0987686657602087E0	2399.695034930888E0	2636.7097118043494E0	-1.9984124330796849E0	1.6552842821762268E0	0.06916914865452431E0	0.09740145422779954E0	0.5917921123616522E0	-0.7568376270350875E0	-1.6897825758598257E0	1560.3840098949431E0	2636.7097118043494E0	-3.073333463202936E0	1.0763364045549801E0	0.6291451204963833E0	0.683638004948826E0	0.8806128592796142E0	-0.18342018329087334E0	-1.1355727882716253E0	2113.2023060642123E0	2399.695034930888E0	-2.065350832678581E0	1.6016362147501304E0
hsa-miR-25-3p	7	100093571	100093593	22	-	203028.1667998671E0	39565.5546935609E0	22501.33206548237E0	25378.520849983386E0	4.686779556998588E-4	0.0030818287383981196E0	3.7768814438114098E0	1.917195498337314E0	3.7768814438114098E0	36946.81697047991E0	9782.360794704713E0	2.1579539955835467E0	6.610351040754931E0	0.971732252251965E0	0.9852971186761331E0	0.9913278109048758E0	-0.01256589018590953E0	-1.008748053872521E0	27273.15928400906E0	27511.746350739886E0	-1.7655250361913908E0	1.7350358818600935E0	0.002079230078256816E0	0.005738675015988812E0	0.35557033245727904E0	-1.4917931391176014E0	-2.8123831172561276E0	9782.360794704713E0	27511.746350739886E0	-4.922272499873556E0	-1.6068795050315623E0	0.24903860545028095E0	0.3124302504739888E0	1.3546951632497024E0	0.437968249405622E0	1.3546951632497024E0	36946.81697047991E0	27273.15928400906E0	-1.2919615546769003E0	2.371006534231179E0
hsa-miR-25-5p	7	100093610	100093631	21	-	22448.93186027503E0	13644.009719020622E0	553.7546849126786E0	2806.116482534379E0	4.707988756163568E-4	0.0030818287383981196E0	8.00250500824833E0	3.0004516746602996E0	8.00250500824833E0	9812.048821237748E0	1226.122171454832E0	3.556292403493068E0	18.007542446211126E0	0.6089382194552788E0	0.7371357393406006E0	0.8400577065088061E0	-0.2514396598119769E0	-1.190394412493277E0	85.05086407242197E0	101.24407337251614E0	-2.678670977226591E0	1.890329939391732E0	1.0423676698086967E-4	6.25420601885218E-4	12.11055748840756E0	3.598193373400092E0	12.11055748840756E0	1226.122171454832E0	101.24407337251614E0	5.381900236700658E0	27.25163905489576E0	1.0053320274219465E-6	1.387358197842286E-4	115.36683278155822E0	6.850084707872368E0	115.36683278155822E0	9812.048821237748E0	85.05086407242197E0	51.26872030860702E0	259.60285386357907E0
hsa-miR-26a-5p	3	37969413	37969435	22	+	38835.478036825E0	7033.266349844287E0	4654.774671198596E0	4854.434754603125E0	0.07596120601352059E0	0.14559231152591445E0	1.533296457207655E0	0.6166366637245468E0	1.533296457207655E0	5469.18551429447E0	3566.9459015511247E0	-1.0577822204801333E0	2.486843911954066E0	0.012556800776456293E0	0.054151203348467764E0	0.5110718990223493E0	-0.9684018270781879E0	-1.956671853633396E0	3511.2478204269974E0	6870.359782139907E0	-3.1735138133441163E0	-1.2064118727647095E0	0.014107588849309054E0	0.025616411331640124E0	0.5191789098466955E0	-0.945696315705884E0	-1.9261183014835535E0	3566.9459015511247E0	6870.359782139907E0	-3.123959198647633E0	-1.187573676671553E0	0.06735494335318792E0	0.1056247975311356E0	1.5576187707594134E0	0.6393421750968508E0	1.5576187707594134E0	5469.18551429447E0	3511.2478204269974E0	-1.0412648856104143E0	2.526292119830957E0
hsa-miR-26b-5p	2	218402657	218402678	21	+	13743.461897848072E0	3066.5440049064705E0	1609.105794060935E0	1717.932737231009E0	0.35823987612581365E0	0.4846774794643361E0	0.7472461147803885E0	-0.4203446040902328E0	-1.3382471721434035E0	1853.4298169090807E0	2480.347211366884E0	-2.508659850683773E0	1.4007773494686844E0	0.10921429517490897E0	0.28436929687051765E0	0.6098771641206991E0	-0.713409397390848E0	-1.6396744440198332E0	961.4647466342458E0	1576.4891740138255E0	-3.0737112930465527E0	1.1432673928449204E0	0.15333706909242822E0	0.19776182742761772E0	1.5733360254304563E0	0.6538268274285743E0	1.5733360254304563E0	2480.347211366884E0	1576.4891740138255E0	-1.1914723215062224E0	2.9493542006220816E0	0.04288787724776731E0	0.07353925921609458E0	1.9277147947357045E0	0.9468916207291898E0	1.9277147947357045E0	1853.4298169090807E0	961.4647466342458E0	1.0283414357872813E0	3.61366779604475E0
hsa-miR-27a-3p	19	13836447	13836468	21	-	50391.78804351899E0	10343.949105246616E0	5779.579452096524E0	6298.973505439873E0	0.7984546876151344E0	0.8475903606991426E0	1.0978689063510418E0	0.13470579619334533E0	1.0978689063510418E0	4175.84412253823E0	3803.590846152598E0	-1.628241808305575E0	1.9625461240992155E0	0.4955056252180958E0	0.6511970516782041E0	0.831255624071226E0	-0.26663589843312707E0	-1.2029993795438252E0	7815.008579957135E0	9401.45047311153E0	-2.15047694306645E0	1.4859492729225987E0	0.007024623520643463E0	0.014468627549982058E0	0.40457489592826656E0	-1.305521292152388E0	-2.4717302286034717E0	3803.590846152598E0	9401.45047311153E0	-4.418455201620901E0	-1.3827118402718965E0	0.03064603251039804E0	0.06219341891816073E0	0.5343364732432703E0	-0.9041795975259155E0	-1.871479957058302E0	4175.84412253823E0	7815.008579957135E0	-3.3454501851787977E0	-1.0469255364158878E0
hsa-miR-27a-5p	19	13836487	13836509	22	-	6368.919938465481E0	2492.056569684132E0	550.414058703798E0	796.1149923081852E0	0.009734421549467019E0	0.030530685768782925E0	3.0032771193423393E0	1.5865376018531658E0	3.0032771193423393E0	1924.8490761531598E0	640.9162389307585E0	1.4604669133959405E0	6.175883460853138E0	0.018540474160244524E0	0.07052614592036302E0	2.5127551777748574E0	1.32927011371113E0	2.5127551777748574E0	442.56662279769625E0	176.12803135112608E0	1.2219304622172624E0	5.167183222502984E0	0.003319474348323049E0	0.008036622106466329E0	3.6389224013594625E0	1.8635112865828405E0	3.6389224013594625E0	640.9162389307585E0	176.12803135112608E0	1.769575552443385E0	7.483012649463787E0	0.001868205061297183E0	0.005859370419522983E0	4.349286585389881E0	2.120778774724876E0	4.349286585389881E0	1924.8490761531598E0	442.56662279769625E0	2.115019328029807E0	8.943792404712143E0
hsa-miR-27b-3p	9	95085505	95085526	21	+	65753.43099207734E0	12650.797880058144E0	7498.913883685159E0	8219.178874009667E0	0.5092080151134258E0	0.616409702505726E0	1.0871212516530375E0	0.12051285977906363E0	1.0871212516530375E0	7514.765733229728E0	6912.536868998777E0	-2.377732810590998E0	2.8100821872039417E0	0.17808391267579796E0	0.3667997007352256E0	1.8351005334477841E0	0.8758591012884366E0	1.8351005334477841E0	11941.914244318043E0	6507.4986494921195E0	-1.4085788882038541E0	4.7435217671707255E0	0.7119315581387099E0	0.7616012017297826E0	1.0622417677286469E0	0.08711216294696024E0	1.0622417677286469E0	6912.536868998777E0	6507.4986494921195E0	-2.4334233012446345E0	2.7457716105351024E0	0.2762944224435837E0	0.337421507054996E0	0.6292764777969371E0	-0.6682340785624125E0	-1.5891266164928743E0	7514.765733229728E0	11941.914244318043E0	-4.107707757003277E0	1.6266066166904265E0
hsa-miR-28-3p	3	188688834	188688856	22	+	13935.058764688642E0	4137.574347039049E0	1577.3893322193248E0	1741.8823455860802E0	0.11803599252058324E0	0.20109835762766035E0	1.970024184658562E0	0.9782133407845982E0	1.970024184658562E0	2909.8562657879193E0	1477.0662655387937E0	-1.135369185345571E0	4.406362458625094E0	0.49827047941773245E0	0.6511970516782041E0	0.7804950289928346E0	-0.3575386512430814E0	-1.2812381409916456E0	1131.2308016361544E0	1449.3760493814539E0	-2.865751440509685E0	1.7457369415460204E0	0.9737534105200312E0	0.9737534105200312E0	1.0191049218485682E0	0.027302591678593353E0	1.0191049218485682E0	1477.0662655387937E0	1449.3760493814539E0	-2.1947737722526894E0	2.279436823163609E0	0.041485323696036296E0	0.07323872971934389E0	2.5722922865210007E0	1.363054583706273E0	2.5722922865210007E0	2909.8562657879193E0	1131.2308016361544E0	1.1500365805218473E0	5.753458385030685E0
hsa-miR-296-5p	20	58817661	58817682	21	-	1229.1076640344033E0	355.5727954486682E0	102.79878131094428E0	153.63845800430042E0	0.6803998314848053E0	0.7759931962388689E0	0.906854750551517E0	-0.14105659974526946E0	-1.1027124237832302E0	240.0878119664374E0	264.74781305869396E0	-3.5521771828713105E0	2.9212591457306303E0	0.04763609664118549E0	0.14882062329280762E0	3.4001196741220303E0	1.7655855258405944E0	3.4001196741220303E0	84.78292906773959E0	24.935277924330705E0	1.0555087806665822E0	10.952835267794491E0	0.001688756101756795E0	0.004756088613110974E0	10.617399724056842E0	3.4083585781157364E0	10.617399724056842E0	264.74781305869396E0	24.935277924330705E0	3.2959894682185626E0	34.20192266613367E0	0.09827885168802014E0	0.14428171843560406E0	2.8317942605215927E0	1.5017164525298727E0	2.8317942605215927E0	240.0878119664374E0	84.78292906773959E0	-1.1375504209455578E0	9.122083638361298E0
hsa-miR-29a-3p	7	130876748	130876770	22	-	459741.19222068187E0	110758.88200014654E0	44939.19744599501E0	57467.649027585234E0	0.06612702261711753E0	0.13225404523423506E0	1.7853943963866674E0	0.8362428030279132E0	1.7853943963866674E0	32112.237496084417E0	17986.074985969914E0	-1.027792387351572E0	3.2762250859064586E0	0.12107067400091669E0	0.29835273235940185E0	1.5635351061552223E0	0.6448116125520126E0	1.5635351061552223E0	109645.57337245072E0	70126.7102558359E0	-1.1736319586316968E0	2.869110011686049E0	7.916838349934682E-4	0.0026646919324170393E0	0.25647966266328726E0	-1.9630836617959981E0	-3.8989446165672184E0	17986.074985969914E0	70126.7102558359E0	-7.15462095501671E0	-2.124748357549151E0	0.0012880564321690352E0	0.004804102368630455E0	0.2928730865738011E0	-1.771652471320098E0	-3.4144482570883476E0	32112.237496084417E0	109645.57337245072E0	-6.265562979833472E0	-1.8607197689749368E0
hsa-miR-29b-3p	1	207802450	207802473	23	-	89433.80835026425E0	23937.701268931927E0	6899.0059215557285E0	11179.226043783032E0	0.7048115924854187E0	0.7972458996966212E0	1.1871604344755058E0	0.24751491592482328E0	1.1871604344755058E0	2811.707774563998E0	2368.4311680457613E0	-1.6980725605544984E0	2.393178388628576E0	0.2525337755059851E0	0.4716531147083457E0	1.4546507590674718E0	0.5406728241713747E0	1.4546507590674718E0	23429.885227295206E0	16106.880005227164E0	-1.3858203051096125E0	2.9324080035909024E0	2.1429149889601348E-4	0.0010587679389932553E0	0.14704468947703556E0	-2.7656734126922435E0	-6.8006536214024464E0	2368.4311680457613E0	16106.880005227164E0	-13.70933262485239E0	-3.3735332669989955E0	9.125756473913698E-5	9.42930475482752E-4	0.12000518774608251E0	-3.0588313209387947E0	-8.332973088762525E0	2811.707774563998E0	23429.885227295206E0	-16.798311778189102E0	-4.133655894409532E0
hsa-miR-29c-3p	1	207801865	207801887	22	-	35986.30144586749E0	9797.7361605391E0	3285.131317118985E0	4498.287680733436E0	0.028531924911893E0	0.06725074931901048E0	0.5364719996593377E0	-0.8984252212155391E0	-1.8640301835603812E0	1113.7565985406263E0	2076.0759170375986E0	-3.2288372967703047E0	-1.0761175636504448E0	0.06514285460834718E0	0.18728570699899813E0	0.6031411123733187E0	-0.7294325168017181E0	-1.657986795270959E0	5569.372365921789E0	9233.94584143373E0	-2.8719328953667302E0	1.044749455251199E0	2.4634110721666856E-4	0.0011722438895138021E0	0.22483085272660433E0	-2.1530880699091144E0	-4.447788138828108E0	2076.0759170375986E0	9233.94584143373E0	-7.704373221763109E0	-2.5677389657108023E0	1.413103981409259E-4	0.0011712556387969528E0	0.19997883525588564E0	-2.3220807743229352E0	-5.000529174602084E0	1113.7565985406263E0	5569.372365921789E0	-8.661820631951276E0	-2.886840202371355E0
hsa-miR-301a-3p	17	59151149	59151172	23	-	11115.608156668686E0	3029.733050161427E0	948.4570448454053E0	1389.4510195835858E0	0.8701848160190035E0	0.8961604821688246E0	0.5810537903690236E0	-0.7832563692842028E0	-1.7210110605507045E0	477.82743900249284E0	822.3463076333027E0	-8.969576154189514E0	3.028339760191725E0	0.49970200377767826E0	0.6511970516782041E0	0.5983383697094157E0	-0.7409665130668938E0	-1.6712951243385112E0	1593.8449827859508E0	2663.7853489125964E0	-8.71046632848659E0	3.118423638349467E0	0.03216439878371683E0	0.05200480614594041E0	0.30871342847959626E0	-1.6956598559266656E0	-3.2392500868037E0	822.3463076333027E0	2663.7853489125964E0	-16.882343758298454E0	1.6089545674869854E0	0.12477662722533567E0	0.1688154368342777E0	0.29979542820060456E0	-1.7379497121439744E0	-3.335607904370249E0	477.82743900249284E0	1593.8449827859508E0	-17.384542031468225E0	1.5624756781416118E0
hsa-miR-30a-3p	6	71403554	71403576	22	-	22418.45424799245E0	9492.7667355549E0	636.268676738541E0	2802.306780999056E0	2.7126798810979747E-6	1.8717491179576025E-4	0.029924641976844673E0	-5.062522203134621E0	-33.41727532692916E0	79.6379065004155E0	2661.281849561672E0	-67.13183731661437E0	-16.634645123877974E0	4.5320918488994265E-7	1.3764351440981713E-5	0.01150219137300941E0	-6.441947443231615E0	-86.93995496776037E0	96.29647143583067E0	8372.010896498306E0	-174.65334489751774E0	-43.27747501332641E0	0.005556412405441708E0	0.012216193260812103E0	0.31787845034815454E0	-1.653452878441799E0	-3.145856533856749E0	2661.281849561672E0	8372.010896498306E0	-6.319699227007156E0	-1.565962710585497E0	0.5137690987815141E0	0.585951534147512E0	0.827007524943824E0	-0.2740276383448058E0	-1.2091788403834982E0	79.6379065004155E0	96.29647143583067E0	-2.4291147738757553E0	1.6613722717065842E0
